Date,Dividends,Stock Splits
2010-09-24,0.558,0.0
2010-12-27,0.526,0.0
2011-03-25,0.536,0.0
2011-06-24,0.57,0.0
2011-09-23,0.58,0.0
2011-12-23,0.686,0.0
2012-03-26,0.57,0.0
2012-06-25,0.64,0.0
2012-09-24,0.686,0.0
2012-12-24,0.94,0.0
2013-03-22,0.67,0.0
2013-06-24,0.738,0.0
2013-09-23,0.786,0.0
2013-10-24,0.0,0.5
2013-12-24,0.914,0.0
2014-03-24,0.779,0.0
2014-06-23,0.809,0.0
2014-09-22,0.876,0.0
2015-03-23,0.984,0.0
2015-06-22,0.902,0.0
2015-09-21,0.953,0.0
2015-12-21,1.092,0.0
2016-03-21,1.006,0.0
2016-06-21,0.953,0.0
2016-09-13,0.883,0.0
2016-12-22,1.296,0.0
2017-03-22,0.998,0.0
2017-06-23,1.01,0.0
2017-09-20,1.176,0.0
2017-12-26,1.184,0.0
2018-03-26,1.084,0.0
2018-06-28,1.157,0.0
2018-09-26,1.207,0.0
2018-12-17,1.289,0.0
2019-03-21,1.455,0.0
2019-06-27,1.386,0.0
2019-09-26,1.301,0.0
2019-12-23,1.429,0.0
2020-03-10,1.178,0.0
2020-06-29,1.433,0.0
2020-09-29,1.309,0.0
2020-12-22,1.383,0.0
2021-03-26,1.263,0.0
